FileName	CPPvoiceDet	CPPNOvoiceDet	Pitch	CPPfoVoiceDet
voice001	18.855150790240454	18.8056517240574	128.35913378108694	127.7573976952086
voice002	18.000342391839258	18.099511100189613	128.41075589628517	129.0435453863404
voice003	17.957407335055215	18.121253195081955	128.53734921613687	128.90987994251722
voice004	17.04069616344141	17.01450870177071	183.94420557043384	185.71315040792396
voice005	16.67471665448716	16.662959094198463	183.0596651897785	183.08891230451928
voice006	16.461673532888323	16.477249711908836	182.69411152001342	181.17471443513594
voice007	15.248954135103213	15.26264744987408	183.40915203586732	180.1240192304137
voice008	14.834901528809038	14.884544818097325	184.7579801318821	184.19352686022293
voice009	14.389930602882991	14.500549338817141	184.3530287617246	183.3731372404302
voice010	18.272555731005927	18.28622797837175	117.43791456239627	115.52965729619334
voice011	17.6936249513329	17.68427947230494	117.70117850289829	117.61022144413874
voice012	17.11537997357665	17.14200082639952	117.2597846339699	117.15503201146012
voice013	20.777897786143438	21.034308887642563	156.59004584747413	157.54739448845112
voice014	20.94763200073852	21.106497207171376	156.5474279336123	157.04606119281627
voice015	20.735527652837547	20.746534880073234	156.4629265804248	156.866693646775
voice016	10.6762485703432	10.66447275228552	198.68852800729556	198.00111001682632
voice017	11.015220873003495	10.991703368802426	197.55394723452116	201.45834759297517
voice018	10.244537098462105	10.226937961343118	197.09166138623996	194.81621843499516
voice019	17.306175112849264	17.389342719187596	138.64415059850074	140.31714983742575
voice020	16.714207447259707	16.75077181537717	137.05237193935685	138.53354860628565
voice021	16.498823406551306	16.514226450117423	135.3477323226358	137.11523909255993
voice022	16.010740519625916	16.027464372889867	191.3586270291284	190.28365451542257
voice023	15.52464279820997	15.58209580162756	190.91347111521173	189.97205190207538
voice024	16.355724661915673	16.390895352351112	190.65174856188995	189.90112504857188
voice025	12.725294388425699	12.769392873592114	197.9020774298192	192.60654790607146
voice026	13.701413251302352	13.761639388932387	198.9355905368996	198.57745769170043
voice027	13.715539336803314	13.728959149505526	198.79905141798022	197.23796243987022
voice028	14.917691135411355	14.941352802320074	170.0438169031958	167.08606751664308
voice029	15.417421781281751	15.412378871725444	168.1160466432035	167.88983059529278
voice030	15.11375321859291	15.129664349797773	168.5052715204354	170.3271286636562
voice031	16.78960968141031	16.68687408481915	142.09189866667631	141.90737186594785
voice032	17.271429459870227	17.263665614291092	142.8865595910404	141.79292019543905
voice033	17.743508924375263	17.722916288491913	142.52705666515936	141.11247099985502
voice034	12.904612682059357	12.829179024507448	211.27356347321862	209.7612623605451
voice035	12.930860496719758	12.883491997434783	210.73485244706845	212.14223645727031
voice036	12.797928539492545	12.753125170432424	210.9824911876687	213.80977706130955
voice037	19.746027957475263	19.871551702469617	160.05218675875506	159.03000932216585
voice038	19.802387587169413	19.927452079190065	160.7767707133641	161.15396357616166
voice039	20.381018381591225	20.411503661052656	161.3255008602915	160.4815015164914
voice040	16.500793451427278	16.499630108138707	267.4830415082616	267.80654999472125
